season,season_type,player_id,player_name,season_games,layup_assists_created,dunk_assists_created,other_rim_assists_created,rim_assists_strict,rim_assists_all,layup_assists_created_per_game,dunk_assists_created_per_game,other_rim_assists_created_per_game,rim_assists_strict_per_game,rim_assists_all_per_game
1997-98,Playoffs,38,Brad Lohaus,,0,1,0,1,1,,,,,
1997-98,Playoffs,85,Brent Price,4.0,1,0,0,1,1,0.25,0.0,0.0,0.25,0.25
1997-98,Playoffs,787,Charles Barkley,4.0,0,1,0,1,1,0.0,0.25,0.0,0.25,0.25
1997-98,Playoffs,279,Charles Jones,,1,0,0,1,1,,,,,
1997-98,Playoffs,168,Chris Mills,,1,0,0,1,1,,,,,
1997-98,Playoffs,456,Chuck Person,,1,0,0,1,1,,,,,
1997-98,Playoffs,359,Chucky Brown,,1,0,0,1,1,,,,,
1997-98,Playoffs,105,Dan Majerle,5.0,1,0,0,1,1,0.2,0.0,0.0,0.2,0.2
1997-98,Playoffs,192,Dennis Scott,,1,0,0,1,1,,,,,
1997-98,Playoffs,731,Greg Ostertag,11.0,1,0,0,1,1,0.09090909090909091,0.0,0.0,0.09090909090909091,0.09090909090909091
1997-98,Playoffs,469,Jamal Mashburn,5.0,1,0,0,1,1,0.2,0.0,0.0,0.2,0.2
1997-98,Playoffs,146,Jud Buechler,5.0,1,0,0,1,1,0.2,0.0,0.0,0.2,0.2
1997-98,Playoffs,788,Kevin Willis,,1,0,0,1,1,,,,,
1997-98,Playoffs,998,Mark Pope,,0,1,0,1,1,,,,,
1997-98,Playoffs,672,Matt Bullard,2.0,1,0,0,1,1,0.5,0.0,0.0,0.5,0.5
1997-98,Playoffs,42,Monty Williams,,0,1,0,1,1,,,,,
1997-98,Playoffs,753,Randy Brown,,0,1,0,1,1,,,,,
1997-98,Playoffs,208,Sam Cassell,3.0,1,0,0,1,1,0.3333333333333333,0.0,0.0,0.3333333333333333,0.3333333333333333
1997-98,Playoffs,417,Sam Mitchell,4.0,1,0,0,1,1,0.25,0.0,0.0,0.25,0.25
1997-98,Playoffs,120,Steven Smith,9.0,1,0,0,1,1,0.1111111111111111,0.0,0.0,0.1111111111111111,0.1111111111111111
1997-98,Playoffs,67,Tom Hammonds,4.0,1,0,0,1,1,0.25,0.0,0.0,0.25,0.25
1997-98,Playoffs,781,Will Perdue,12.0,0,1,0,1,1,0.0,0.08333333333333333,0.0,0.08333333333333333,0.08333333333333333
1998-99,Playoffs,304,John Stockton,10.0,32,12,0,44,44,3.2,1.2,0.0,4.4,4.4
1998-99,Playoffs,422,Avery Johnson,4.0,26,10,0,36,36,6.5,2.5,0.0,9.0,9.0
1998-99,Playoffs,252,Karl Malone,10.0,25,4,0,29,29,2.5,0.4,0.0,2.9,2.9
1998-99,Playoffs,349,Mark Jackson,23.0,19,9,0,28,28,0.8260869565217391,0.391304347826087,0.0,1.2173913043478262,1.2173913043478262
1998-99,Playoffs,757,Damon Stoudamire,16.0,10,13,0,23,23,0.625,0.8125,0.0,1.4375,1.4375
1998-99,Playoffs,164,Chris Childs,16.0,15,6,0,21,21,0.9375,0.375,0.0,1.3125,1.3125
1998-99,Playoffs,369,Charlie Ward,16.0,14,6,0,20,20,0.875,0.375,0.0,1.25,1.25
1998-99,Playoffs,727,Eric Snow,5.0,8,11,0,19,19,1.6,2.2,0.0,3.8,3.8
1998-99,Playoffs,947,Allen Iverson,10.0,10,7,0,17,17,1.0,0.7,0.0,1.7,1.7
1998-99,Playoffs,53,Mario Elie,4.0,13,4,0,17,17,3.25,1.0,0.0,4.25,4.25
1998-99,Playoffs,717,Arvydas Sabonis,16.0,11,4,0,15,15,0.6875,0.25,0.0,0.9375,0.9375
1998-99,Playoffs,458,Howard Eisley,10.0,10,5,0,15,15,1.0,0.5,0.0,1.5,1.5
1998-99,Playoffs,275,Allan Houston,16.0,9,4,0,13,13,0.5625,0.25,0.0,0.8125,0.8125
1998-99,Playoffs,375,Isaiah Rider,,7,6,0,13,13,,,,,
1998-99,Playoffs,302,Mookie Blaylock,,11,2,0,13,13,,,,,
1998-99,Playoffs,965,Derek Fisher,21.0,6,6,0,12,12,0.2857142857142857,0.2857142857142857,0.0,0.5714285714285714,0.5714285714285714
1998-99,Playoffs,977,Kobe Bryant,22.0,9,3,0,12,12,0.4090909090909091,0.13636363636363635,0.0,0.5454545454545454,0.5454545454545454
1998-99,Playoffs,251,Sean Elliott,4.0,6,6,0,12,12,1.5,1.5,0.0,3.0,3.0
1998-99,Playoffs,764,David Robinson,4.0,10,1,0,11,11,2.5,0.25,0.0,2.75,2.75
1998-99,Playoffs,255,Grant Hill,2.0,7,4,0,11,11,3.5,2.0,0.0,5.5,5.5
1998-99,Playoffs,204,Jeff Hornacek,10.0,8,3,0,11,11,0.8,0.3,0.0,1.1,1.1
1998-99,Playoffs,1495,Tim Duncan,,4,7,0,11,11,,,,,
1998-99,Playoffs,147,Jalen Rose,23.0,9,1,0,10,10,0.391304347826087,0.043478260869565216,0.0,0.43478260869565216,0.43478260869565216
1998-99,Playoffs,84,Latrell Sprewell,16.0,8,2,0,10,10,0.5,0.125,0.0,0.625,0.625
1998-99,Playoffs,185,Chris Webber,5.0,7,2,0,9,9,1.4,0.4,0.0,1.8,1.8
1998-99,Playoffs,1716,Larry Hughes,,4,5,0,9,9,,,,,
1998-99,Playoffs,1114,Jaren Jackson,2.0,4,4,0,8,8,2.0,2.0,0.0,4.0,4.0
1998-99,Playoffs,754,Jim Jackson,,5,3,0,8,8,,,,,
1998-99,Playoffs,358,Anfernee Hardaway,9.0,5,2,0,7,7,0.5555555555555556,0.2222222222222222,0.0,0.7777777777777778,0.7777777777777778
1998-99,Playoffs,248,George Lynch,10.0,4,3,0,7,7,0.4,0.3,0.0,0.7,0.7
1998-99,Playoffs,21,Greg Anthony,15.0,7,0,0,7,7,0.4666666666666667,0.0,0.0,0.4666666666666667,0.4666666666666667
1998-99,Playoffs,467,Jason Kidd,6.0,6,1,0,7,7,1.0,0.16666666666666666,0.0,1.1666666666666667,1.1666666666666667
1998-99,Playoffs,1715,Jason Williams,5.0,5,2,0,7,7,1.0,0.4,0.0,1.4,1.4
1998-99,Playoffs,951,Ray Allen,5.0,4,3,0,7,7,0.8,0.6,0.0,1.4,1.4
1998-99,Playoffs,406,Shaquille O'Neal,23.0,5,2,0,7,7,0.21739130434782608,0.08695652173913043,0.0,0.30434782608695654,0.30434782608695654
1998-99,Playoffs,896,Tim Hardaway,7.0,5,2,0,7,7,0.7142857142857143,0.2857142857142857,0.0,1.0,1.0
1998-99,Playoffs,696,Travis Best,23.0,4,3,0,7,7,0.17391304347826086,0.13043478260869565,0.0,0.30434782608695654,0.30434782608695654
1998-99,Playoffs,124,Vlade Divac,5.0,2,5,0,7,7,0.4,1.0,0.0,1.4,1.4
1998-99,Playoffs,85,Brent Price,,3,3,0,6,6,,,,,
1998-99,Playoffs,1749,Cuttino Mobley,,5,1,0,6,6,,,,,
1998-99,Playoffs,353,Darrell Armstrong,,5,1,0,6,6,,,,,
1998-99,Playoffs,157,Derek Harper,,3,3,0,6,6,,,,,
1998-99,Playoffs,779,Glen Rice,23.0,4,2,0,6,6,0.17391304347826086,0.08695652173913043,0.0,0.2608695652173913,0.2608695652173913
1998-99,Playoffs,1134,Ike Austin,,6,0,0,6,6,,,,,
1998-99,Playoffs,296,Rick Fox,23.0,2,4,0,6,6,0.08695652173913043,0.17391304347826086,0.0,0.2608695652173913,0.2608695652173913
1998-99,Playoffs,120,Steven Smith,16.0,3,3,0,6,6,0.1875,0.1875,0.0,0.375,0.375
1998-99,Playoffs,1498,Antonio Daniels,4.0,4,1,0,5,5,1.0,0.25,0.0,1.25,1.25
1998-99,Playoffs,365,Derrick McKey,23.0,4,1,0,5,5,0.17391304347826086,0.043478260869565216,0.0,0.21739130434782608,0.21739130434782608
1998-99,Playoffs,247,Joe Dumars,,4,1,0,5,5,,,,,
1998-99,Playoffs,739,Rasheed Wallace,16.0,5,0,0,5,5,0.3125,0.0,0.0,0.3125,0.3125
1998-99,Playoffs,109,Robert Horry,23.0,4,1,0,5,5,0.17391304347826086,0.043478260869565216,0.0,0.21739130434782608,0.21739130434782608
1998-99,Playoffs,208,Sam Cassell,5.0,3,2,0,5,5,0.6,0.4,0.0,1.0,1.0
1998-99,Playoffs,1000,Shandon Anderson,,5,0,0,5,5,,,,,
