player_name,pts,ast,stl,blk,reb,fga,fg3a,fta,tov,min_seconds,fgm,fg3m,pip,player_id
Pacôme Dadiet,24,9,3,0,16,18,11,6,1,4640.5,7,4,6,1642359
Jevon Carter,187,45,21,7,48,167,123,13,18,27071.300000000003,64,47,24,1628975
Koby Brea,16,3,0,0,2,9,7,2,0,1383.0,5,4,2,1642886
Danny Wolf,419,107,27,25,224,370,178,79,58,58518.600000000006,151,57,184,1642874
Malaki Branham,128,23,10,3,44,91,37,34,15,16529.7,43,14,52,1631103
Charles Bassey,9,2,1,2,15,9,0,3,1,2109.0,4,0,8,1629646
Jared McCain,388,73,31,2,108,339,175,45,45,51241.1,140,68,122,1642272
Darius Garland,491,190,22,3,69,396,175,81,80,50307.099999999984,179,63,190,1629636
Nae'Qwan Tomlin,298,42,36,29,147,257,93,53,19,48221.0,119,20,198,1641772
Cody Martin,7,2,4,2,14,10,5,6,4,3310.7999999999997,2,0,4,1628998
Kelly Olynyk,114,40,13,2,64,86,41,30,22,19078.800000000003,42,10,60,203482
Jeremy Sochan,125,32,14,6,84,110,38,18,20,24477.499999999993,52,9,86,1631110
Lindy Waters III,68,12,5,1,22,65,57,1,5,13097.1,24,19,4,1630322
Precious Achiuwa,483,72,52,35,338,394,67,87,39,73788.20000000001,207,21,362,1630173
Jalen Green,212,33,18,1,47,217,104,34,30,20110.399999999998,79,28,72,1630224
Isaiah Collier,627,400,60,18,137,459,90,192,138,84908.2,232,25,398,1642268
Maxi Kleber,76,22,12,10,67,60,22,22,13,22410.600000000002,28,6,42,1628467
De'Aaron Fox,1017,334,67,14,203,792,304,192,125,101670.10000000002,383,104,458,1628368
Monté Morris,18,9,1,1,7,20,8,4,2,3877.0,7,2,10,1628420
T.J. McConnell,432,218,50,8,98,376,42,20,57,46467.0,201,13,240,204456
Pete Nance,134,17,7,5,56,92,55,0,14,18729.0,53,28,50,1631250
Wendell Moore Jr.,10,3,2,2,6,7,1,2,1,3268.3,4,0,8,1631111
Daeqwon Plowden,103,17,6,4,44,93,60,16,6,19671.5,36,16,40,1631342
Doug McDermott,52,4,3,1,10,43,41,2,6,7229.2,17,16,2,203926
Jordan Miller,382,80,31,7,125,249,76,114,44,50800.9,132,27,200,1641757
Garrett Temple,4,4,3,1,4,7,5,2,3,2292.2,1,1,0,202066
Jamal Cain,51,7,5,1,16,42,20,18,7,8486.8,15,6,12,1631288
Antonio Reeves,27,2,1,0,8,20,13,0,1,3962.6000000000004,10,7,4,1641810
Zach Edey,150,12,7,21,122,98,5,32,26,17031.1,62,1,120,1641744
Adou Thiero,28,6,5,2,19,21,1,10,4,6130.2,10,0,20,1642876
Coby White,607,156,23,2,121,443,230,177,95,56022.299999999996,193,79,202,1629632
Paul George,431,100,40,13,140,354,173,76,44,49432.30000000001,150,66,92,202331
Drew Peterson,5,2,3,1,9,16,12,2,0,3856.1,2,0,4,1641809
LeBron James,943,308,48,28,248,702,201,231,134,87383.3,354,63,492,2544
Jamaree Bouyea,213,61,25,14,64,179,60,31,21,30720.8,86,19,110,1631123
Javonte Cooke,23,7,6,0,19,41,23,2,9,5619.9,9,3,12,1631451
Jahmai Mashack,87,19,22,8,31,89,38,6,19,17126.1,36,12,48,1642942
Keegan Murray,321,38,24,36,132,300,112,49,27,47585.8,126,31,148,1631099
Garrison Mathews,78,10,6,3,17,52,46,23,3,11765.999999999998,21,17,6,1629726
Noa Essengue,0,0,1,0,0,3,2,0,0,362.0,0,0,0,1642855
Jaden Ivey,316,68,23,14,91,256,134,47,41,40215.30000000001,114,50,92,1631093
Chris Livingston,9,1,1,0,3,7,3,1,0,1045.6,4,0,8,1641753
Tosan Evbuomwan,0,0,0,0,2,1,0,0,0,462.79999999999995,0,0,0,1641787
Tyler Herro,416,71,15,7,85,308,119,66,37,34927.3,154,47,184,1629639
Isaiah Crawford,10,3,2,3,6,8,6,0,2,2868.0,4,2,2,1642384
Drew Timme,67,16,5,0,25,48,17,7,7,10356.400000000001,28,7,36,1631166
Kenrich Williams,283,60,24,5,138,220,100,40,34,40660.50000000001,108,41,112,1629026
Jalen Williams,455,141,33,9,121,365,64,102,50,45328.20000000001,175,20,266,1631114
