game_id,poss_index,offense_team,defense_team,off_p1,off_p2,off_p3,off_p4,off_p5,def_p1,def_p2,def_p3,def_p4,def_p5,points,points_adj,ended_by,period,date
22500948,14,1610612740,1610612761,1627749,1629627,1630180,1630529,1630530,1627742,1627751,1629628,1630193,1630567,3,3.0,free_throw,1,2026-03-11
22500948,16,1610612740,1610612761,1627749,1629627,1630180,1630529,1630530,1627742,1627751,1629628,1630193,1630567,0,0.0,turnover,1,2026-03-11
22500948,17,1610612761,1610612740,1627742,1627751,1629628,1630193,1630567,1627749,1629627,1630180,1630529,1630530,0,0.0,steal,1,2026-03-11
22500948,19,1610612740,1610612761,1627749,1629627,1630180,1630529,1630530,1627742,1627751,1629628,1630193,1630567,0,0.0,free_throw,1,2026-03-11
22500948,20,1610612761,1610612740,1627742,1627751,1629628,1630193,1630567,1627749,1629627,1630180,1630529,1630530,2,2.0,made_shot,1,2026-03-11
22500948,21,1610612740,1610612761,1627749,1629627,1630180,1630529,1630530,1627742,1627751,1629628,1630193,1630567,0,0.0,defensive_rebound,1,2026-03-11
22500948,22,1610612761,1610612740,1627742,1627751,1629628,1630193,1630567,201599,1627749,1629627,1630529,1630530,2,2.0,free_throw,1,2026-03-11
22500948,24,1610612761,1610612740,1627742,1627751,1629628,1630193,1630567,201599,1627749,1629627,1630529,1630530,3,1.256,made_shot,1,2026-03-11
22500948,26,1610612761,1610612740,1627742,1627751,1629628,1630193,1630567,201599,1627749,1629627,1630529,1630530,0,0.0,defensive_rebound,1,2026-03-11
22500948,27,1610612740,1610612761,201599,1627749,1629627,1630529,1630530,1627742,1627751,1629628,1630193,1630567,2,2.0,made_shot,1,2026-03-11
22500948,28,1610612761,1610612740,1627742,1627751,1629628,1630193,1630567,201599,1627749,1629627,1630529,1630530,2,2.0,made_shot,1,2026-03-11
22500948,29,1610612740,1610612761,201599,1627749,1629627,1630529,1630530,1627742,1627751,1629628,1630193,1630567,0,0.0,defensive_rebound,1,2026-03-11
22500948,30,1610612761,1610612740,1627742,1627751,1629628,1630193,1630572,201599,1627749,1630529,1630530,1642852,1,1.0,free_throw,1,2026-03-11
22500948,31,1610612740,1610612761,201599,1627749,1630529,1630530,1642852,1627742,1627751,1629628,1630193,1630572,0,0.0,defensive_rebound,1,2026-03-11
22500948,32,1610612761,1610612740,1627742,1627751,1629628,1630193,1630572,201599,1627749,1630529,1630530,1642852,2,2.0,made_shot,1,2026-03-11
22500948,33,1610612740,1610612761,201599,1627749,1630529,1630530,1642852,1627742,1627751,1629628,1630193,1630572,2,2.0,made_shot,1,2026-03-11
22500948,34,1610612761,1610612740,1627742,1627751,1629628,1630193,1630572,201599,1627749,1630529,1630530,1642852,0,0.0,defensive_rebound,1,2026-03-11
22500948,35,1610612740,1610612761,201599,1627749,1630529,1630530,1642852,1627742,1627751,1629628,1630193,1630572,3,1.301,made_shot,1,2026-03-11
22500948,37,1610612740,1610612761,201599,1630529,1630530,1642847,1642852,1627742,1627751,1630572,1642266,1642347,0,0.0,defensive_rebound,1,2026-03-11
22500948,38,1610612761,1610612740,1627742,1627751,1630572,1642266,1642347,201599,1630529,1630530,1642847,1642852,2,2.0,made_shot,1,2026-03-11
22500948,41,1610612740,1610612761,201599,1630529,1630530,1642847,1642852,1627742,1627751,1630572,1642266,1642347,3,1.261,made_shot,1,2026-03-11
22500948,42,1610612761,1610612740,1627742,1627751,1630572,1642266,1642347,201599,1630529,1630530,1642847,1642852,0,0.0,defensive_rebound,1,2026-03-11
22500948,43,1610612740,1610612761,201599,1630180,1630530,1642847,1642852,1630567,1630572,1641711,1642266,1642347,1,1.0,free_throw,1,2026-03-11
